State,Date,Cases_Asian,Cases_AIAN,Cases_Black,Cases_White,Cases_Other,Cases_NHPI,Cases_Multiracial,Cases_LatinX,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Hispanic,Cases_Ethnicity_Unknown,Cases_Total,Deaths_AIAN,Deaths_Asian,Deaths_Black,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Deaths_LatinX,Deaths_Multiracial,Deaths_NHPI,Deaths_Other,Deaths_White,Deaths_Total,Hospitalizations_AIAN,Hospitalizations_Asian,Hospitalizations_Black,Hospitalizations_Ethnicity_Hispanic,Hospitalizations_Ethnicity_NonHispanic,Hospitalizations_Ethnicity_Unknown,Hospitalizations_LatinX,Hospitalizations_Multiracial,Hospitalizations_NHPI,Hospitalizations_Other,Hospitalizations_White,Hospitalizations_Total,Tests_AIAN,Tests_Asian,Tests_Black,Tests_Ethnicity_Hispanic,Tests_Ethnicity_NonHispanic,Tests_Ethnicity_Unknown,Tests_LatinX,Tests_Multiracial,Tests_NHPI,Tests_Other,Tests_White,Tests_Total
AL,20210307,2273.0,,82790.0,160347.0,38000.0,,,,167064.0,12312.0,320443.0,499819.0,,24.0,2223.0,137.0,6083.0,3928.0,,,,300.0,4730.0,10148.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20210303,2248.0,,82171.0,159154.0,37912.0,,,,165460.0,12245.0,319449.0,497154.0,,24.0,2193.0,135.0,6002.0,3892.0,,,,298.0,4674.0,10029.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20210228,2237.0,,81782.0,158420.0,37809.0,,,,164533.0,12206.0,316513.0,493252.0,,24.0,2168.0,134.0,5938.0,3857.0,,,,294.0,4625.0,9929.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20210224,2224.0,,81137.0,157043.0,37660.0,,,,162952.0,12129.0,315139.0,490220.0,,23.0,2134.0,130.0,5835.0,3779.0,,,,287.0,4531.0,9744.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20210221,2172.0,,79834.0,154388.0,37418.0,,,,159737.0,12010.0,315096.0,486843.0,,22.0,2044.0,130.0,5589.0,3873.0,,,,277.0,4343.0,9592.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20210217,2172.0,,79834.0,154388.0,37418.0,,,,159737.0,12010.0,311420.0,483167.0,,22.0,2044.0,130.0,5589.0,3627.0,,,,277.0,4343.0,9346.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20210214,2160.0,,79442.0,153486.0,37321.0,,,,158684.0,11968.0,310279.0,480931.0,,22.0,2022.0,130.0,5528.0,3584.0,,,,276.0,4297.0,9242.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20210210,2129.0,,78493.0,151607.0,37061.0,,,,156427.0,11881.0,307759.0,476067.0,,19.0,2020.0,126.0,5339.0,3423.0,,,,264.0,4241.0,8888.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20210207,2077.0,,77839.0,150262.0,36879.0,,,,154916.0,11837.0,305670.0,472423.0,,19.0,1961.0,125.0,5144.0,3246.0,,,,248.0,4076.0,8515.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20210203,2049.0,,76749.0,147937.0,36472.0,,,,152473.0,11706.0,300877.0,465056.0,,18.0,1854.0,124.0,4975.0,3104.0,,,,238.0,3839.0,8203.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20210131,1993.0,,75906.0,146087.0,36159.0,,,,150616.0,11667.0,297356.0,459639.0,,18.0,1771.0,122.0,4721.0,2845.0,,,,216.0,3641.0,7688.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20210127,1917.0,,74153.0,142768.0,35710.0,,,,147347.0,11536.0,290203.0,449086.0,,17.0,1716.0,118.0,4497.0,2557.0,,,,193.0,3420.0,7172.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20210124,1887.0,,72793.0,140029.0,35296.0,,,,144747.0,11392.0,285031.0,441170.0,,17.0,1646.0,112.0,4242.0,2306.0,,,,182.0,3182.0,6660.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20210120,1807.0,,70768.0,136116.0,34736.0,,,,141332.0,11249.0,277074.0,429655.0,,16.0,1595.0,112.0,4059.0,2112.0,,,,164.0,3022.0,6283.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20210117,1747.0,,69697.0,133816.0,34311.0,,,,139563.0,11157.0,271878.0,422598.0,,16.0,1570.0,109.0,3971.0,2040.0,,,,159.0,2952.0,6120.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20210113,1701.0,,67814.0,129968.0,33727.0,,,,136053.0,10959.0,263983.0,410995.0,,16.0,1517.0,106.0,3802.0,1852.0,,,,154.0,2801.0,5760.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20210110,1639.0,,66570.0,127293.0,33157.0,,,,133719.0,10859.0,257322.0,401900.0,,16.0,1459.0,99.0,3624.0,1611.0,,,,144.0,2633.0,5334.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20210106,1572.0,,63904.0,121890.0,32337.0,,,,129041.0,10666.0,244477.0,384184.0,,15.0,1395.0,95.0,3459.0,1440.0,,,,136.0,2495.0,4994.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20210103,1499.0,,31719.0,117462.0,31719.0,,,,125167.0,10523.0,236244.0,371934.0,,15.0,1374.0,94.0,3395.0,1384.0,,,,131.0,2451.0,4873.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20201230,1378.0,,59617.0,111969.0,30929.0,,,,121589.0,10367.0,224864.0,356820.0,,15.0,1352.0,94.0,3339.0,1341.0,,,,128.0,2404.0,4774.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20201227,1317.0,,58238.0,108236.0,30352.0,,,,118830.0,10257.0,216541.0,345628.0,,15.0,1334.0,94.0,3296.0,1301.0,,,,127.0,2373.0,4691.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20201223,1276.0,,56662.0,104175.0,29702.0,,,,115822.0,10127.0,208620.0,334569.0,,15.0,1311.0,94.0,3243.0,1250.0,,,,126.0,2325.0,4587.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20201220,1208.0,,55119.0,100181.0,29096.0,,,,112707.0,10031.0,199714.0,322452.0,,14.0,1270.0,92.0,3118.0,1179.0,,,,121.0,2229.0,4389.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20201216,1099.0,,52693.0,94243.0,27983.0,,,,107285.0,9819.0,188536.0,305640.0,,14.0,1241.0,92.0,3011.0,1095.0,,,,117.0,2134.0,4198.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20201213,1044.0,,51189.0,90818.0,27391.0,,,,104733.0,9713.0,181185.0,295631.0,,14.0,1225.0,91.0,2961.0,1050.0,,,,109.0,2087.0,4102.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20201209,968.0,,49086.0,85878.0,26696.0,,,,101020.0,9516.0,169651.0,280187.0,,12.0,1202.0,90.0,2883.0,1012.0,,,,107.0,2027.0,3985.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20201206,852.0,,47761.0,82826.0,26220.0,,,,98657.0,9404.0,161816.0,269877.0,,12.0,1187.0,90.0,2835.0,964.0,,,,107.0,1987.0,3889.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20201202,852.0,,45725.0,77850.0,25517.0,,,,95096.0,9188.0,152544.0,256828.0,,12.0,1164.0,88.0,2747.0,876.0,,,,97.0,1906.0,3711.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20201129,804.0,,44525.0,74716.0,25043.0,,,,92901.0,9103.0,145225.0,247229.0,,12.0,1149.0,86.0,2684.0,807.0,,,,95.0,1856.0,3577.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20201125,750.0,,43339.0,71706.0,24654.0,,,,91069.0,9023.0,139226.0,239318.0,,12.0,1135.0,86.0,2655.0,791.0,,,,95.0,1831.0,3532.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20201122,727.0,,42478.0,69428.0,24206.0,,,,89159.0,8931.0,134416.0,232506.0,,12.0,1126.0,82.0,2626.0,749.0,,,,92.0,1794.0,3457.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20201118,696.0,,41371.0,66925.0,22721.0,,,,86776.0,8800.0,127910.0,223486.0,,12.0,1109.0,81.0,2557.0,709.0,,,,93.0,1730.0,3347.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20201115,696.0,,40753.0,65415.0,21505.0,,,,85323.0,8734.0,123765.0,217822.0,,11.0,1095.0,81.0,2514.0,653.0,,,,89.0,1692.0,3248.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20201111,670.0,,39839.0,63241.0,19769.0,,,,83151.0,8606.0,116880.0,208637.0,,11.0,1080.0,80.0,2479.0,642.0,,,,86.0,1665.0,3201.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20201108,657.0,,39381.0,61958.0,18636.0,,,,81856.0,8540.0,113291.0,203687.0,,9.0,1057.0,79.0,2418.0,587.0,,,,83.0,1619.0,3084.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20201104,639.0,,38683.0,60135.0,17467.0,,,,79955.0,8439.0,109383.0,197777.0,,9.0,1052.0,77.0,2374.0,555.0,,,,76.0,1576.0,3006.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20201101,628.0,,38319.0,59056.0,16739.0,,,,78786.0,8394.0,106805.0,193985.0,,9.0,1046.0,77.0,2346.0,550.0,,,,74.0,1555.0,2973.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20201028,625.0,,37465.0,57272.0,15830.0,,,,76982.0,8276.0,102448.0,187706.0,,9.0,1028.0,76.0,2301.0,534.0,,,,74.0,1519.0,2911.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20201025,600.0,,37070.0,56269.0,15188.0,,,,75783.0,8194.0,100378.0,184355.0,,8.0,1021.0,76.0,2275.0,515.0,,,,73.0,1498.0,2866.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20201021,581.0,,36249.0,54305.0,14337.0,,,,73585.0,8033.0,92909.0,174528.0,,7.0,1005.0,74.0,2224.0,507.0,,,,71.0,1466.0,2805.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20201018,575.0,,36048.0,53458.0,13879.0,,,,72793.0,8015.0,91816.0,172626.0,,7.0,1006.0,71.0,2216.0,500.0,,,,67.0,1454.0,2788.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20201014,576.0,,35458.0,51873.0,13149.0,,,,71139.0,7919.0,88918.0,167977.0,,7.0,988.0,69.0,2169.0,468.0,,,,64.0,1412.0,2706.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20201011,567.0,,35145.0,50912.0,12637.0,,,,70101.0,7861.0,87378.0,165342.0,,7.0,981.0,69.0,2126.0,468.0,,,,62.0,1376.0,2664.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20201007,569.0,,34576.0,49446.0,12023.0,,,,68527.0,7783.0,85106.0,161418.0,,7.0,960.0,68.0,2080.0,451.0,,,,60.0,1334.0,2601.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20201004,561.0,,34310.0,48509.0,11572.0,,,,67483.0,7724.0,83960.0,159169.0,,7.0,948.0,68.0,2051.0,440.0,,,,57.0,1314.0,2558.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20200930,550.0,,33937.0,47253.0,11060.0,,,,66099.0,7662.0,80939.0,154701.0,,8.0,947.0,68.0,2034.0,437.0,,,,56.0,1297.0,2540.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20200927,528.0,,33576.0,46169.0,10668.0,,,,65133.0,7618.0,79569.0,152321.0,,8.0,933.0,68.0,2007.0,426.0,,,,54.0,1283.0,2501.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20200923,516.0,,33099.0,44874.0,10159.0,,,,63590.0,7523.0,76026.0,147153.0,,8.0,921.0,67.0,1977.0,444.0,,,,54.0,1267.0,2488.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20200920,509.0,,32754.0,43924.0,9759.0,,,,62555.0,7473.0,74933.0,144962.0,,8.0,902.0,65.0,1941.0,430.0,,,,52.0,1248.0,2437.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20200916,497.0,,32327.0,42656.0,9194.0,,,,61300.0,7383.0,72390.0,141087.0,,8.0,893.0,64.0,1920.0,407.0,,,,52.0,1230.0,2392.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20200913,503.0,,32090.0,41839.0,8780.0,,,,60356.0,7321.0,71077.0,138755.0,,8.0,878.0,64.0,1889.0,398.0,,,,50.0,1204.0,2351.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20200909,490.0,,31613.0,40524.0,8200.0,,,,58838.0,7232.0,68346.0,134417.0,,7.0,861.0,64.0,1834.0,386.0,,,,48.0,1166.0,2285.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20200906,483.0,,31327.0,39844.0,7852.0,,,,58039.0,7176.0,67098.0,132314.0,,7.0,859.0,64.0,1827.0,386.0,,,,48.0,1159.0,2276.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20200902,461.0,,30902.0,38610.0,7506.0,,,,56639.0,7093.0,64494.0,128239.0,,7.0,849.0,63.0,1788.0,365.0,,,,47.0,1130.0,2217.0,,,,,,,,,,,,,,,,,,,,,,,,
AL,20200830,454.0,,30604.0,37708.0,7255.0,,,,55665.0,7033.0,62546.0,125235.0,,6.0,837.0,61.0,1752.0,348.0,,,,46.0,1101.0,2162.0,,,,,,,,,,,,,,,,,,,,,,,,
